"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
2.01824454584e-184	1.09217963361194	0.562	0.221	7.90041827469067e-180	"0"	"TOX"
3.02846975775082e-182	1.32738394910984	0.47	0.155	1.18549448667156e-177	"0"	"MIR155HG"
2.13072102865323e-176	0.52487517956865	0.984	0.919	8.34070746666305e-172	"0"	"CCL5"
1.67164024032065e-173	1.68406854399158	0.356	0.092	6.5436357207352e-169	"0"	"TSC22D1"
2.9496598368277e-164	1.19102440482499	0.469	0.171	1.15464434312621e-159	"0"	"PTMS"
7.11218351973747e-162	1.03653676905473	0.759	0.484	2.78406423880123e-157	"0"	"CMC1"
3.06441766975965e-160	0.825893556080144	0.75	0.479	1.19956629682741e-155	"0"	"GABARAPL2"
3.26902886847107e-160	1.37973892318172	0.296	0.064	1.279661350563e-155	"0"	"SEMA4A"
5.23361872168086e-154	1.25526767258915	0.474	0.185	2.04870004860197e-149	"0"	"PHLDA1"
4.66069698011054e-152	0.999929903393521	0.698	0.42	1.82442983286427e-147	"0"	"PMAIP1"
5.97306666291276e-150	0.473755237939854	0.965	0.879	2.3381569451972e-145	"0"	"CD3D"
3.76243553733281e-148	0.658804256556182	0.857	0.631	1.47280539108893e-143	"0"	"PARK7"
7.40719407944001e-148	1.41490495485124	0.248	0.045	2.89954612239679e-143	"0"	"CSF1"
3.27653290161354e-146	0.637669679624604	0.862	0.642	1.28259880433662e-141	"0"	"LIMD2"
4.58554752723903e-146	0.941213367849582	0.679	0.409	1.79501257953772e-141	"0"	"SH2D2A"
1.08082434864857e-142	0.921989756166615	0.673	0.37	4.23088691278482e-138	"0"	"LTB"
3.0250209911119e-140	1.00461933710002	0.518	0.23	1.18414446697075e-135	"0"	"GALM"
2.89164134601255e-135	0.578860534494856	0.932	0.76	1.13193300489661e-130	"0"	"DUSP2"
1.02638581885557e-133	0.818715126606522	0.686	0.409	4.01778728791014e-129	"0"	"COTL1"
1.11139385928581e-133	0.772664968325668	0.706	0.442	4.3505512621743e-129	"0"	"SHFM1"
1.83772226503649e-129	0.426860637892092	0.979	0.922	7.19376380648536e-125	"0"	"SRGN"
1.39348703557057e-128	0.482463759398381	0.941	0.848	5.454805000741e-124	"0"	"SUB1"
1.69922289408093e-127	0.520920910928865	0.92	0.81	6.65160801887981e-123	"0"	"IL2RG"
2.03088309670673e-126	0.473151989112386	0.916	0.815	7.9498918820585e-122	"0"	"PTPRCAP"
4.29669796899053e-126	0.818218123688524	0.673	0.392	1.68194241996134e-121	"0"	"BHLHE40"
7.61974178238018e-126	0.865904615761146	0.526	0.24	2.98274792071272e-121	"0"	"CXCR3"
1.79670413751763e-123	1.23916535657926	0.274	0.071	7.03319834631276e-119	"0"	"CCDC141"
1.63587843795279e-120	1.69458577365185	0.275	0.076	6.40364614536618e-116	"0"	"TRGV8"
8.17293236400562e-119	1.25562442377228	0.262	0.066	3.19929437389e-114	"0"	"TOX2"
5.3833466379394e-118	0.941241294593296	0.536	0.267	2.10731104142138e-113	"0"	"BATF"
2.47787716261168e-117	1.19688136135553	0.365	0.135	9.6996501530434e-113	"0"	"IGFLR1"
1.10305291869649e-116	0.765079672561296	0.871	0.683	4.31790065023742e-112	"0"	"CCL4"
5.87011307962013e-116	0.706669864400577	0.69	0.43	2.2978557650173e-111	"0"	"APOBEC3G"
9.20529722572659e-116	0.737100027710444	0.677	0.408	3.60341359901067e-111	"0"	"ANXA5"
2.38235198399403e-115	0.93466349655208	0.496	0.231	9.32571684134463e-111	"0"	"HLA-DQA2"
4.72587708178217e-114	0.615868447627569	0.791	0.589	1.84994458366363e-109	"0"	"RNASEK"
4.73093290970171e-113	1.28460429049134	0.351	0.129	1.85192368750273e-108	"0"	"FAM3C"
8.12872519256638e-113	0.66123296013714	0.76	0.533	3.18198947663011e-108	"0"	"PKM"
2.85128605870223e-112	0.998968536842893	0.542	0.296	1.11613592767899e-107	"0"	"SYNGR2"
7.36416607536267e-110	0.433933724464372	0.943	0.819	2.88270281020072e-105	"0"	"CXCR4"
1.13001819485776e-109	1.19880842499427	0.241	0.061	4.42345622377071e-105	"0"	"TP53INP1"
1.24690772800038e-109	0.496036599141525	0.933	0.792	4.88102030125749e-105	"0"	"GZMA"
4.16250226304608e-109	0.575907896350158	0.827	0.648	1.62941151086939e-104	"0"	"ARL6IP5"
