""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"UBE2L65"	1.30316112040608e-43	0.387695514389877	0.765	0.386	5.1012242058296e-39	"17"	"UBE2L6"
"LYPLA21"	1.30548012633607e-43	0.267039433654312	0.476	0.19	5.11030195454253e-39	"17"	"LYPLA2"
"SMARCC11"	1.35477218281872e-43	0.310111695274361	0.45	0.178	5.30325570964388e-39	"17"	"SMARCC1"
"EIF4G11"	1.40733418554219e-43	0.334845965280337	0.456	0.184	5.50900966930489e-39	"17"	"EIF4G1"
"OARD1"	1.44560844081964e-43	0.286048777058099	0.414	0.158	5.65883424158846e-39	"17"	"OARD1"
"PPP1CC2"	1.49027894184565e-43	0.415977065656803	0.749	0.388	5.83369691785481e-39	"17"	"PPP1CC"
"PUSL1"	1.55771182362504e-43	0.287976920378478	0.175	0.045	6.09766293358021e-39	"17"	"PUSL1"
"TIMM8A"	1.6205358722956e-43	0.28578892362941	0.161	0.039	6.34358767210111e-39	"17"	"TIMM8A"
"MOV101"	1.73112930955303e-43	0.311782706870818	0.193	0.052	6.77650568224534e-39	"17"	"MOV10"
"UPF3A"	1.76661844095669e-43	0.299137566465788	0.495	0.202	6.91542788712495e-39	"17"	"UPF3A"
"PPM1D"	1.77641719152553e-43	0.357529862060002	0.273	0.089	6.95378509622667e-39	"17"	"PPM1D"
"FAM96B1"	1.7798212392941e-43	0.390968115446977	0.81	0.427	6.96711024121675e-39	"17"	"FAM96B"
"ACOT2"	1.92544397236616e-43	0.25153695179322	0.233	0.07	7.53715042982733e-39	"17"	"ACOT2"
"AAMDC1"	1.95453003063584e-43	0.316068871159863	0.219	0.064	7.651007804924e-39	"17"	"AAMDC"
"GBP45"	1.99639733405685e-43	0.408500863955885	0.356	0.131	7.81489736416555e-39	"17"	"GBP4"
"C12orf43"	2.1030189091501e-43	0.29124970135674	0.212	0.06	8.23226751986808e-39	"17"	"C12orf43"
"DSCR3"	2.37265784332934e-43	0.27311044400128	0.365	0.133	9.28776912771272e-39	"17"	"DSCR3"
"NDUFAF61"	2.4037011186686e-43	0.325754919448254	0.226	0.067	9.40928802902823e-39	"17"	"NDUFAF6"
"PPAT"	2.50235203852699e-43	0.298534551902635	0.145	0.033	9.79545705481391e-39	"17"	"PPAT"
