""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"THOC2"	8.35564935912078e-07	0.308733206349656	0.164	0.367	0.0327081894162783	"13"	"THOC2"
"HBP1"	8.42359501068876e-07	0.317091402661657	0.12	0.292	0.0329741626693412	"13"	"HBP1"
"CBWD5"	8.59425339241426e-07	0.27960710751771	0.12	0.291	0.0336422049046056	"13"	"CBWD5"
"SNX1"	8.80035049755559e-07	0.315451026821822	0.156	0.356	0.0344489720226814	"13"	"SNX1"
"CREB1"	8.9688514624935e-07	0.274663325790919	0.08	0.225	0.0351085690499308	"13"	"CREB1"
"CNOT2"	8.99701622223655e-07	0.27436487166021	0.182	0.401	0.035218820001945	"13"	"CNOT2"
"POLR2M"	9.31053349710184e-07	0.337173332389973	0.044	0.162	0.0364460833744051	"13"	"POLR2M"
"NAP1L4"	9.7384362640982e-07	0.294251751130174	0.098	0.254	0.0381211087558124	"13"	"NAP1L4"
"LMO4"	1.09352282609477e-06	0.30048504004504	0.12	0.29	0.0428059510274799	"13"	"LMO4"
"PPP2R5E"	1.13097710536892e-06	0.278616376968375	0.095	0.247	0.0442720987896666	"13"	"PPP2R5E"
"TRNAU1AP"	1.1894253640922e-06	0.300049768923903	0.073	0.21	0.046560055877389	"13"	"TRNAU1AP"
"MTRNR2L12"	1.35104351709482e-06	1.88539831033333	0.247	0.164	0.0528865984766768	"13"	"MTRNR2L12"
"DDX17"	1.37560339278208e-06	0.828994700604052	0.56	0.662	0.0538479948104543	"13"	"DDX17"
"DCP2"	1.44229332397574e-06	0.255537695964706	0.149	0.34	0.0564585721670305	"13"	"DCP2"
"CALU1"	1.4869663357919e-06	0.271532661240533	0.102	0.256	0.0582072972145739	"13"	"CALU"
"ELL21"	1.95853928107509e-06	1.19887327633575	0.411	0.369	0.0766670201576844	"13"	"ELL2"
"ANAPC5"	2.07194123612194e-06	0.380631093302401	0.189	0.409	0.0811061396879932	"13"	"ANAPC5"
"CFAP20"	2.12413895480814e-06	0.307589276159648	0.029	0.131	0.0831494193859647	"13"	"CFAP20"
"RIOK3"	2.12800249872261e-06	0.268075364521154	0.178	0.382	0.0833006578124966	"13"	"RIOK3"
"GSDMD"	2.13308026983148e-06	0.300315245737994	0.156	0.348	0.0834994271625534	"13"	"GSDMD"
"KRR1"	2.1535122269247e-06	0.29697399806135	0.073	0.206	0.0842992361229673	"13"	"KRR1"
"RANBP2"	2.27242623777138e-06	1.18014587153373	0.509	0.562	0.0889541250775607	"13"	"RANBP2"
"FAM111A"	2.50105069211236e-06	0.253399465139358	0.142	0.32	0.0979036293427383	"13"	"FAM111A"
